country_region_code;country_region;sub_region_1;sub_region_2;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;month;year
CR;Costa Rica;;;2020-02-15;5;10;4;2;4;0;2;2020
CR;Costa Rica;;;2020-02-16;1;9;-5;1;1;1;2;2020
CR;Costa Rica;;;2020-02-17;-1;5;1;2;20;-3;2;2020
CR;Costa Rica;;;2020-02-18;-3;3;-1;1;20;-3;2;2020
CR;Costa Rica;;;2020-02-19;-4;-1;0;0;19;-2;2;2020
CR;Costa Rica;;;2020-02-20;-5;-1;-2;0;19;-2;2;2020
CR;Costa Rica;;;2020-02-21;-5;0;-5;1;21;-2;2;2020
CR;Costa Rica;;;2020-02-22;-2;1;-1;-1;4;1;2;2020
CR;Costa Rica;;;2020-02-23;-4;2;-1;-2;1;2;2;2020
CR;Costa Rica;;;2020-02-24;-5;0;-1;0;22;-2;2;2020
CR;Costa Rica;;;2020-02-25;-6;-1;-2;0;20;-2;2;2020
CR;Costa Rica;;;2020-02-26;-7;-2;-1;-3;21;-2;2;2020
CR;Costa Rica;;;2020-02-27;-5;0;-5;-2;20;-2;2;2020
CR;Costa Rica;;;2020-02-28;2;6;-1;2;23;-3;2;2020
CR;Costa Rica;;;2020-02-29;4;13;3;4;6;0;2;2020
CR;Costa Rica;;;2020-03-01;3;13;0;1;3;1;3;2020
CR;Costa Rica;;;2020-03-02;0;9;3;3;23;-3;3;2020
CR;Costa Rica;;;2020-03-03;-2;7;1;1;21;-3;3;2020
CR;Costa Rica;;;2020-03-04;-4;3;0;-1;21;-3;3;2020
CR;Costa Rica;;;2020-03-05;-4;1;-3;-1;20;-2;3;2020
CR;Costa Rica;;;2020-03-06;-4;2;-5;-1;22;-2;3;2020
CR;Costa Rica;;;2020-03-07;-3;4;-4;-4;5;2;3;2020
CR;Costa Rica;;;2020-03-08;-5;4;-8;-7;1;2;3;2020
CR;Costa Rica;;;2020-03-09;-7;4;-5;-2;21;-2;3;2020
CR;Costa Rica;;;2020-03-10;-9;4;-7;-5;19;-1;3;2020
CR;Costa Rica;;;2020-03-11;-12;0;-10;-9;17;0;3;2020
CR;Costa Rica;;;2020-03-12;-12;-2;-13;-11;15;2;3;2020
CR;Costa Rica;;;2020-03-13;-7;5;-11;-10;16;1;3;2020
CR;Costa Rica;;;2020-03-14;-9;8;-12;-13;3;4;3;2020
CR;Costa Rica;;;2020-03-15;-20;5;-22;-19;-3;6;3;2020
CR;Costa Rica;;;2020-03-16;-16;12;-16;-17;5;3;3;2020
CR;Costa Rica;;;2020-03-17;-26;-1;-27;-26;-14;9;3;2020
CR;Costa Rica;;;2020-03-18;-34;-13;-33;-33;-18;12;3;2020
CR;Costa Rica;;;2020-03-19;-41;-16;-44;-41;-24;16;3;2020
CR;Costa Rica;;;2020-03-20;-48;-23;-50;-47;-26;18;3;2020
CR;Costa Rica;;;2020-03-21;-57;-31;-60;-55;-27;20;3;2020
CR;Costa Rica;;;2020-03-22;-66;-42;-69;-63;-34;20;3;2020
CR;Costa Rica;;;2020-03-23;-50;-31;-54;-53;-34;19;3;2020
CR;Costa Rica;;;2020-03-24;-53;-35;-58;-56;-38;20;3;2020
CR;Costa Rica;;;2020-03-25;-54;-36;-57;-57;-39;21;3;2020
CR;Costa Rica;;;2020-03-26;-54;-35;-58;-58;-40;22;3;2020
CR;Costa Rica;;;2020-03-27;-53;-29;-56;-57;-38;22;3;2020
CR;Costa Rica;;;2020-03-28;-59;-32;-62;-61;-34;22;3;2020
CR;Costa Rica;;;2020-03-29;-68;-41;-71;-68;-39;21;3;2020
CR;Costa Rica;;;2020-03-30;-47;-28;-53;-56;-39;19;3;2020
CR;Costa Rica;;;2020-03-31;-48;-27;-53;-55;-40;19;3;2020
CR;Costa Rica;;;2020-04-01;-49;-27;-54;-56;-41;20;4;2020
CR;Costa Rica;;;2020-04-02;-47;-22;-54;-55;-42;21;4;2020
CR;Costa Rica;;;2020-04-03;-54;-29;-57;-57;-41;23;4;2020
CR;Costa Rica;;;2020-04-04;-73;-40;-69;-67;-46;25;4;2020
CR;Costa Rica;;;2020-04-05;-74;-41;-74;-70;-43;21;4;2020
CR;Costa Rica;;;2020-04-06;-67;-36;-65;-67;-60;25;4;2020
CR;Costa Rica;;;2020-04-07;-67;-31;-65;-67;-62;24;4;2020
CR;Costa Rica;;;2020-04-08;-79;-50;-75;-81;-72;31;4;2020
CR;Costa Rica;;;2020-04-09;-86;-64;-83;-89;-83;37;4;2020
CR;Costa Rica;;;2020-04-10;-88;-71;-86;-91;-84;40;4;2020
CR;Costa Rica;;;2020-04-11;-84;-62;-82;-85;-67;31;4;2020
CR;Costa Rica;;;2020-04-12;-83;-61;-82;-83;-54;25;4;2020
CR;Costa Rica;;;2020-04-13;-45;-29;-52;-53;-39;18;4;2020
CR;Costa Rica;;;2020-04-14;-46;-26;-53;-55;-41;19;4;2020
CR;Costa Rica;;;2020-04-15;-47;-26;-52;-55;-40;20;4;2020
CR;Costa Rica;;;2020-04-16;-47;-25;-53;-53;-41;21;4;2020
CR;Costa Rica;;;2020-04-17;-48;-26;-53;-53;-38;22;4;2020
CR;Costa Rica;;;2020-04-18;-70;-38;-67;-63;-44;24;4;2020
CR;Costa Rica;;;2020-04-19;-74;-44;-73;-69;-42;22;4;2020
CR;Costa Rica;;;2020-04-20;-43;-28;-49;-50;-36;18;4;2020
CR;Costa Rica;;;2020-04-21;-46;-30;-53;-52;-37;18;4;2020
CR;Costa Rica;;;2020-04-22;-47;-31;-53;-53;-38;19;4;2020
CR;Costa Rica;;;2020-04-23;-49;-33;-55;-54;-39;21;4;2020
CR;Costa Rica;;;2020-04-24;-49;-31;-55;-53;-36;21;4;2020
CR;Costa Rica;;;2020-04-25;-66;-38;-65;-61;-41;22;4;2020
CR;Costa Rica;;;2020-04-26;-70;-42;-70;-66;-39;20;4;2020
CR;Costa Rica;;;2020-04-27;-42;-30;-49;-49;-35;18;4;2020
CR;Costa Rica;;;2020-04-28;-42;-27;-49;-50;-37;13;4;2020
CR;Costa Rica;;;2020-04-29;-45;-29;-51;-51;-36;19;4;2020
CR;Costa Rica;;;2020-04-30;-39;-20;-45;-46;-36;18;4;2020
CR;Costa Rica;;;2020-05-01;-47;-21;-54;-58;-62;25;5;2020
CR;Costa Rica;;;2020-05-02;-60;-31;-60;-57;-41;21;5;2020
